date,CAN,AB,BC,MB,NB,NL,North,NS,ON,PEI,QC,SK
18 Apr 2022,108078.0681265789,13436.705777317002,6096.01264193385,3342.6449501107445,3664.226589147803,1776.8673770539497,426.0236576401219,5172.856443570169,49931.17034602886,1026.5756238550982,21946.73953463407,1258.2451852872357
17 Apr 2022,107753.63859925365,13277.235374127362,5727.758690969851,3157.68471324467,3732.9941749193426,1834.0976519740095,434.47042108849575,5180.5933853230545,49613.179712625606,985.4711750123942,22546.94193852256,1263.2113614463076
16 Apr 2022,105096.46838485179,12831.469103073006,5255.951687135566,2914.0533516543605,3718.103628625039,1850.070035517549,433.19044968988885,5074.099780917169,48214.31647503549,924.766458954198,22640.210724056047,1240.2366901934774
15 Apr 2022,102583.01114792626,12407.10613981426,4818.1704779756155,2687.340375712851,3703.828515360905,1865.6824389047968,431.9812859551507,4972.10958250157,46879.19196760782,867.800112104228,22731.58808430913,1218.2121676799331
14 Apr 2022,100203.74801470069,12002.791860756826,4411.956129532537,2476.334735503567,3690.1333520234753,1880.9473606076433,430.8382969295768,4874.354532738721,45603.86553123909,814.313356018891,22821.130976910335,1197.0818824400194
13 Apr 2022,97944.92906393437,11616.685570073962,4034.849641665871,2279.810012456787,3676.7977145884133,1895.7800027021674,429.735294774173,4780.342918067361,44382.43849266399,764.029688858753,22907.72561198293,1176.7341160999763
12 Apr 2022,96812.04605473952,11422.303399393722,3835.2345905326547,2279.3281777178063,3611.1112240981406,1952.0672874473885,444.9337806958723,4732.064234260162,43652.598298881225,698.5296133205239,22992.60743580032,1191.2680125917007
11 Apr 2022,95706.68519994235,11231.358359041933,3642.7583306809556,2278.7688839618368,3546.6324748108186,2008.4435949079384,460.63360380267625,4684.410653808881,42935.53020762312,636.6437595703256,23075.826768902523,1205.6785628313341
10 Apr 2022,94628.31340595624,11043.799388868936,3457.238476652052,2278.1366127730607,3483.342438736943,2064.890263445026,476.8132446253903,4637.378747844553,42231.04764793633,578.268119039003,23157.431979795143,1219.9664862398026
9 Apr 2022,92194.11035154347,10699.159677925894,3230.066883556221,2243.793857793613,3370.684439950083,2090.0528498386184,486.16274142599366,4523.147915188798,40925.35759410722,515.5710095953557,22894.211158958264,1215.902223203401
8 Apr 2022,89851.27849259641,10367.201364187467,3015.762043275789,2210.273212498859,3262.253491962384,2114.4075900619387,495.64040336081314,4412.608843867332,39667.46866673123,457.88850093211806,22635.998628440033,1211.7757472784529
7 Apr 2022,87595.70383441531,10047.37466327132,2813.635862503053,2177.5473437561827,3157.86429502199,2137.9696226746114,505.2205033898466,4305.613253167698,38455.314518101004,404.9201465194736,22382.652796509574,1207.590829500557
6 Apr 2022,85185.0834821226,9710.533339114416,2615.3299402851026,2139.2840093637537,3048.3551838748504,2154.40354135265,513.3660841204673,4189.669906106734,37177.34348635832,368,22068.98366442209,1199.8143271242159
5 Apr 2022,83002.21554297282,9498.971698424306,2564.137818554307,2077.047934519921,3099.874552294577,2289.283073796707,483.06020471697076,4030.7555222406745,35641.66365669603,366.7981480722916,21762.904885424494,1187.718048232545
4 Apr 2022,80893.17058629169,9291.446608268869,2513.954234846836,2015.9913417323892,3153.260240468962,2430.0657047053687,454.8927286034817,3875.154752005346,34139.60924110601,378.65261373528745,21464.144239340567,1175.9988814785602
3 Apr 2022,78844.11885690484,9087.790937012633,2464.7377705032754,1956.0695015484725,3208.5838134550304,2576.9997835422478,428.881359687846,3722.7685457919233,32670.28139117293,390.9168903773621,21172.4423694104,1164.6464944027232
2 Apr 2022,75419.37592778775,8721.933832721603,2371.340502635834,1861.8238562409465,3204.9556096023,2679.3810542200645,397.48796841822923,3506.7975342125224,30649.823947399374,396.0751787530791,20497.64066246772,1132.1157811160754
1 Apr 2022,72119.75232667048,8366.378365780854,2280.4423774259917,1770.6631247791306,3200.9781969050696,2782.2870302358265,369.08355516562597,3299.09140697963,28710.99798222839,401.16249209463666,19838.41440250821,1100.2533925671232
31 Mar 2022,68941.60808646595,8020.822603323802,2191.967694536691,1682.5031280642493,3196.6009632876685,2885.588351310702,343.5803915255973,3099.433359521957,26851.677386132418,406.1702760422679,19194.230484554184,1069.0334481664013
30 Mar 2022,66072.54562567537,7705.896116494224,2111.575987406215,1601.611304269754,3200.457636359424,2997.2828237374138,333.5461810202455,2915.53104809246,25138.0721791631,412.2081678710681,18615.106809482,1041.2573717794608
29 Mar 2022,65150.531754758755,7828.0495728733795,2099.705822910029,1554.4480518912553,3152.2151620416207,2894.150959383796,344.7452159552047,2932.3116027965225,24851.10640536172,392.9757041601336,18045.847065736212,1054.976191648883
28 Mar 2022,64279.34196880648,7962.237123031798,2089.5156057736403,1508.1089348300816,3105.92931030616,2792.6174838434395,357.0671315888801,2952.4216493694216,24581.018614478675,374.0300970548292,17486.201370083723,1070.1946484458317
27 Mar 2022,63466.3030745028,8109.701779574406,2081.1200400985404,1462.5758889021442,3061.6689141077854,2692.6292545357805,375.4417956290572,2976.1686361373013,24328.642310586813,355.3619511853728,16935.928209012713,1087.0642947328947
26 Mar 2022,60121.90774205383,7930.386932426945,1989.0047683305916,1359.299388751352,2894.8623780904404,2487.0395676540884,380.0389124170379,2879.8969551529517,23100.24984086205,323.0512668703195,15717.967129923047,1060.1106015750056
25 Mar 2022,56783.16710216267,7735.22473580686,1895.055450658302,1257.5858411496974,2727.4024942737365,2285.7400456738355,383.7285261410382,2779.0974519799333,21860.000242260292,308.11999999999995,14520.067591441597,1031.1447227773644
24 Mar 2022,53429.526409006336,7521.276580266121,1798.8576003602368,1157.38232147563,2558.8855262577517,2088.7164094646973,386.25871988441645,2672.924803909452,20604.060870388344,299.63,13341.737979460631,999.7955975390541
23 Mar 2022,50660.73762605909,7375.4140230368985,1721.0218240585507,1071.772081483179,2418.493784714488,1919.4944716856699,392.1242956550592,2592.147061335281,19567.853582087824,291.13999999999993,12333.675211078658,977.6012909234755
22 Mar 2022,48292.53764940073,6967.776279130927,1671.1884023080625,1067.135810621087,2294.1121533703285,1959.3740701874249,380.39299833399605,2480.755257063588,18915.371085047205,282.2828571428571,11317.096391804655,957.0523443905983
21 Mar 2022,45722.28225971336,6533.59421279831,1611.5898163288955,1055.0112004694863,2160.1865947890997,1984.4304821322007,366.7067816480419,2357.2920355717542,18157.673187037857,273.4257142857142,10291.893149283389,930.4790853686163
20 Mar 2022,42917.08030756358,6069.492192146063,1540.544666946836,1033.7527627082973,2015.439220006947,1990.491716804295,350.6624013775785,2219.968210510939,17277.44741875665,264.5685714285714,9257.955264513572,896.7578823638308
19 Mar 2022,43785.646474065805,6127.250109987271,1601.2699813470447,1101.234482277375,2043.7311112702398,2169.1363408407083,364.8616053347902,2272.8033768200603,17875.270090219296,255.7114285714285,9034.608524809186,939.7694225884087
18 Mar 2022,44750.99092364884,6191.840610287135,1667.1038489341906,1174.8574818112793,2074.8392678334308,2365.7448637291222,380.52018208925574,2330.2044772930817,18523.21689971148,246.85428571428565,8809.342538540595,986.466467704987
17 Mar 2022,45825.914311409746,6264.153732152461,1738.7059694575148,1255.427966149794,2109.127272695461,2582.7089291519337,397.83165933379803,2392.7577728445954,19227.74393616149,237.9971428571428,8582.132460468782,1037.32747013677
16 Mar 2022,47277.48326875623,6379.403085516336,1826.6364433934164,1351.1329050618679,2158.5837527393555,2838.050537401485,419.269787662671,2474.4056340016546,20104.12711395143,229.13999999999993,8397.932872238789,1098.801136789228
15 Mar 2022,46501.75283657208,6261.124011254514,1957.7473648457062,1330.817600268158,2134.8538546135846,2814.858947250463,426.64256741965335,2394.269882909731,19598.82530739807,265.93571428571425,8210.109014603344,1106.5685717231434
14 Mar 2022,45709.701370823444,6139.538197528462,2092.404763732474,1309.7283362129688,2109.7856476169068,2789.8424009476093,433.92515647591324,2313.6923793904557,19085.854774503892,302.73142857142847,8018.552859336248,1113.6454265070893
13 Mar 2022,44900.194717636296,6014.504808598377,2230.22688883389,1287.8245949395316,2083.2948517748428,2762.872273225995,441.07570105180287,2232.6971775790157,18565.073923344742,339.5271428571428,7823.152041811433,1119.9453136195225
12 Mar 2022,47050.895344504,6287.139070012403,2532.3860098157948,1351.3076840202248,2195.408472209563,2920.184691112644,478.5921131976529,2297.974515308198,19265.951012218222,376.3228571428571,8143.534565747854,1202.0943537185935
11 Mar 2022,49282.28829507034,6567.731115926648,2869.1864552469833,1417.0818424533063,2312.35222380342,3084.9660399784148,519.1472036771511,2362.449477677162,19976.058562191432,413.11857142857133,8470.47908851591,1289.7177141713373
10 Mar 2022,51600.00821461519,6856.634340147179,3244.189802288225,1485.2654151962588,2434.4046391362363,3257.6723616402937,563.003236602415,2426.02947055764,20695.483450840635,449.91428571428565,8804.189298013654,1383.2219144783633
9 Mar 2022,53894.03558131859,7138.697432865822,3653.374643508308,1552.6079386305692,2556.3047606736804,3431.3313007046577,609.1222854047205,2483.21470498039,21377.811289464113,486.71,9125.031438669375,1479.8297864169565
8 Mar 2022,56833.82151505204,7809.727189462919,3878.4483053101767,1715.3861201252016,2682.4192496719675,3498.1704310176433,647.5309277502558,2503.6858966273235,22507.195859963947,476.8528571428571,9451.219443871334,1663.1852341084207
7 Mar 2022,59947.45528634261,8541.942160841521,4117.094328055659,1894.3519616218623,2814.032010576535,3561.5809981232837,690.2795905526905,2519.3449425428153,23691.748014283712,466.99571428571426,9782.888045078415,1867.1975203803927
6 Mar 2022,63250.31996431931,9341.32507622226,4370.367260395718,2091.1695130373846,2951.50152057335,3621.2925283787904,737.9806267202277,2529.924216163266,24935.29635264507,457.1385714285714,10120.17653961089,2094.1477591437824
5 Mar 2022,65631.66672565417,10040.79974187817,4560.519747969449,2268.444405510735,3042.5761856056747,3614.4807136650406,777.869036129165,2492.0306357959303,25795.709890958435,447.28142857142853,10285.27822247872,2306.676717091422
4 Mar 2022,68167.86683149339,10798.107693402015,4762.004152291664,2461.4581194117295,3137.8481965945957,3604.660280385301,822.8483359312554,2450.5717751905004,26699.582703502947,437.4242857142857,10453.225657601137,2540.1356314679615
3 Mar 2022,70872.88559557669,11618.771602160883,4975.7220192530785,2671.7707456275134,3237.6062910600854,3591.638340749301,873.547437508014,2405.396227021814,27650.063916833486,427.5671428571428,10624.093060199304,2796.7088123060685
2 Mar 2022,73648.9715155552,12489.617331818514,5194.631610459634,2896.641079003449,3337.0047407368875,3569.6897411383693,929.2385949630689,2352.7129009734554,28606.359031130232,417.71,10781.283332457206,3074.0831528743797
